Row Labels,Count of status,NOMBRE D'AGENTS
11/03/2024,72,26
12/03/2024,41,15
14/03/2024,63,20
15/03/2024,279,44
16/03/2024,119,36
18/03/2024,296,54
19/03/2024,274,53
20/03/2024,269,33
21/03/2024,289,34
22/03/2024,280,39
23/03/2024,165,29
25/03/2024,192,34
26/03/2024,51,15
27/03/2024,124,30
28/03/2024,296,35
29/03/2024,173,25
02/04/2024,247,38
03/04/2024,205,29
04/04/2024,198,31
05/04/2024,18,12
08/04/2024,138,29
09/04/2024,242,30
11/04/2024,187,30
12/04/2024,189,37
13/04/2024,219,34
15/04/2024,302,36
16/04/2024,328,43
17/04/2024,335,52
18/04/2024,351,55
19/04/2024,65,33
30/04/2024,247,58
02/05/2024,448,59
03/05/2024,577,67
04/05/2024,644,76
06/05/2024,711,69
07/05/2024,764,72
08/05/2024,750,74
10/05/2024,557,74
11/05/2024,405,70
13/05/2024,294,72
14/05/2024,471,74
15/05/2024,400,78
16/05/2024,533,77
17/05/2024,397,76
18/05/2024,426,69
21/05/2024,517,72
22/05/2024,382,71
23/05/2024,622,72
24/05/2024,516,74
25/05/2024,366,69
27/05/2024,335,70
28/05/2024,671,74
29/05/2024,726,74
30/05/2024,540,70
31/05/2024,409,68
01/06/2024,411,67
02/06/2024,103,12
03/06/2024,449,78
04/06/2024,362,84
05/06/2024,554,84
06/06/2024,445,82
07/06/2024,400,73
08/06/2024,317,78
10/06/2024,359,79
11/06/2024,350,79
12/06/2024,393,67
13/06/2024,351,53
14/06/2024,303,53
15/06/2024,236,51
18/06/2024,265,64
19/06/2024,127,43
20/06/2024,210,39
21/06/2024,289,38
22/06/2024,88,21
23/06/2024,22,10
24/06/2024,78,30
25/06/2024,242,37
26/06/2024,263,66
27/06/2024,128,55
28/06/2024,126,48
01/07/2024,77,18
02/07/2024,42,16
03/07/2024,97,23
04/07/2024,68,21
05/07/2024,46,18
06/07/2024,26,16
08/07/2024,8,7
09/07/2024,7,6
10/07/2024,34,10
26/07/2024,5,1
29/07/2024,3,1
30/07/2024,1,1
31/07/2024,2,1
02/08/2024,1,1
05/08/2024,5,1
06/08/2024,1,1
17/08/2024,1,1
04/09/2024,68,14
05/09/2024,185,13
06/09/2024,272,50
07/09/2024,402,58
09/09/2024,537,58
10/09/2024,805,64
11/09/2024,773,64
12/09/2024,983,67
13/09/2024,1005,66
14/09/2024,720,64
16/09/2024,1002,64
17/09/2024,935,67
18/09/2024,829,66
19/09/2024,941,64
20/09/2024,951,106
21/09/2024,1164,103
23/09/2024,1511,108
24/09/2024,1228,191
25/09/2024,2708,205
26/09/2024,2804,211
27/09/2024,3252,294
28/09/2024,2715,291
30/09/2024,3913,299
01/10/2024,3216,305
02/10/2024,2823,303
03/10/2024,3888,304
04/10/2024,3506,307
07/10/2024,3812,400
08/10/2024,4382,402
09/10/2024,4937,402
10/10/2024,4715,401
11/10/2024,4672,400
14/10/2024,4557,408
15/10/2024,995,238
16/10/2024,5450,393
17/10/2024,5930,402
18/10/2024,5647,390
19/10/2024,365,48
21/10/2024,5553,398
22/10/2024,5525,397
23/10/2024,5958,395
24/10/2024,5743,396
25/10/2024,5141,403
26/10/2024,3341,391
28/10/2024,6612,445
29/10/2024,6203,446
30/10/2024,6187,443
31/10/2024,5428,428
Grand Total,170299,
